label,char_count,word_count,avg_word_length,sentence_count,avg_sentence_length,unique_word_count,stop_word_count,unique_word_ratio,punc_count,punc_ratio,question_count,exclamation_count,digit_count,capital_count,repeat_word_count,unique_bigram_count,unique_trigram_count,unique_fourgram_count
human,1585,289,4.570934256055363,14,112.28571428571429,153,94,0.5294117647058824,32,0.02018927444794953,0,0,24,95,35,235,247,247
ai,1462,263,4.661596958174905,14,103.14285714285714,97,105,0.3688212927756654,32,0.02188782489740082,0,0,41,64,35,172,200,207
ai,825,142,4.97887323943662,7,116.85714285714286,54,44,0.38028169014084506,25,0.030303030303030304,0,0,14,25,26,84,87,88
human,881,178,4.078651685393258,8,109.25,83,73,0.46629213483146065,26,0.029511918274687854,0,0,4,32,25,137,148,149
human,1953,330,5.042424242424242,15,129.26666666666668,160,101,0.48484848484848486,43,0.022017409114183307,0,0,7,27,42,251,274,279
human,942,176,4.494318181818182,6,156.16666666666666,97,58,0.5511363636363636,30,0.03184713375796178,0,0,21,49,17,131,138,137
ai,435,77,4.7272727272727275,3,144.33333333333334,41,31,0.5324675324675324,7,0.016091954022988506,0,0,6,19,13,57,62,63
ai,513,100,4.23,5,101.6,57,41,0.57,12,0.023391812865497075,0,0,9,14,13,80,83,83
human,1166,225,4.3244444444444445,8,144.875,105,83,0.4666666666666667,34,0.029159519725557463,0,0,24,43,27,168,183,187
human,1011,196,4.301020408163265,6,167.66666666666666,106,71,0.5408163265306123,27,0.026706231454005934,0,0,41,44,19,150,154,153
ai,783,145,4.475862068965517,8,96.625,69,59,0.47586206896551725,15,0.019157088122605363,0,0,7,26,17,112,121,122
ai,803,175,3.7714285714285714,9,88.22222222222223,78,60,0.44571428571428573,33,0.0410958904109589,0,0,24,51,22,123,130,130
human,1085,199,4.522613065326633,9,119.44444444444444,83,84,0.41708542713567837,17,0.01566820276497696,0,0,38,45,29,150,164,167
ai,1244,225,4.648888888888889,11,112.0,103,86,0.4577777777777778,38,0.03054662379421222,0,0,32,40,32,161,172,175
ai,1370,245,4.669387755102041,10,135.4,111,99,0.4530612244897959,28,0.020437956204379562,0,0,26,59,31,185,204,207
human,1097,189,4.904761904761905,9,121.0,85,70,0.4497354497354497,20,0.018231540565177756,0,0,5,35,28,147,160,161
ai,982,185,4.421621621621622,9,107.88888888888889,78,62,0.42162162162162165,24,0.024439918533604887,0,0,33,56,32,127,137,142
human,960,169,4.769230769230769,8,118.75,94,54,0.5562130177514792,17,0.017708333333333333,0,0,9,50,31,133,143,144
ai,664,123,4.504065040650406,6,109.5,69,44,0.5609756097560976,15,0.022590361445783132,0,0,21,37,23,97,100,100
human,956,186,4.295698924731183,8,118.5,99,64,0.532258064516129,24,0.02510460251046025,0,0,4,46,29,154,159,158
human,1024,181,4.823204419889502,6,169.83333333333334,94,57,0.5193370165745856,30,0.029296875,0,0,13,34,26,136,141,141
human,1326,238,4.65546218487395,9,146.44444444444446,105,83,0.4411764705882353,23,0.017345399698340876,0,0,54,58,34,179,199,201
ai,1229,245,4.142857142857143,10,121.8,107,81,0.43673469387755104,32,0.026037428803905614,0,0,6,43,33,177,191,199
ai,826,149,4.630872483221476,8,102.125,50,53,0.33557046979865773,14,0.01694915254237288,0,0,36,65,22,87,106,116
ai,482,101,3.99009900990099,3,159.66666666666666,56,23,0.5544554455445545,24,0.04979253112033195,0,0,28,31,11,65,65,64
ai,763,163,3.8650306748466257,9,83.66666666666667,47,59,0.2883435582822086,33,0.04325032765399738,0,0,56,30,40,66,72,75
ai,556,108,4.2407407407407405,5,109.8,53,36,0.49074074074074076,12,0.02158273381294964,0,0,18,50,21,73,81,83
human,1579,294,4.561224489795919,14,111.92857142857143,127,63,0.43197278911564624,79,0.050031665611146296,0,0,49,95,34,195,207,209
human,1032,191,4.5863874345549736,6,171.16666666666666,94,66,0.49214659685863876,29,0.02810077519379845,0,0,14,24,25,145,153,154
ai,836,151,4.6158940397351,8,103.25,64,64,0.423841059602649,15,0.017942583732057416,0,0,12,40,27,104,110,113
human,1737,344,4.194767441860465,12,143.83333333333334,166,136,0.48255813953488375,53,0.03051237766263673,0,0,15,39,47,271,285,287
ai,1139,237,3.970464135021097,12,93.66666666666667,89,85,0.3755274261603376,66,0.05794556628621598,0,0,87,38,32,142,162,163
human,1066,213,4.131455399061033,10,105.4,97,75,0.45539906103286387,35,0.03283302063789869,0,0,9,24,27,157,168,170
human,2071,391,4.437340153452685,14,147.0,168,138,0.4296675191815857,66,0.0318686624818928,0,0,29,23,48,291,301,303
ai,304,53,4.849056603773585,4,75.0,35,19,0.660377358490566,8,0.02631578947368421,0,0,0,8,7,43,43,42
human,965,181,4.464088397790055,9,106.33333333333333,83,65,0.4585635359116022,26,0.02694300518134715,0,0,54,45,18,129,137,137
ai,462,91,4.230769230769231,4,114.5,51,30,0.5604395604395604,14,0.030303030303030304,0,0,7,22,10,70,73,73
human,1120,223,4.125560538116592,10,111.1,88,77,0.39461883408071746,27,0.024107142857142858,0,0,39,56,30,159,176,181
human,1683,287,4.944250871080139,12,139.33333333333334,117,119,0.4076655052264808,28,0.016636957813428402,0,0,18,15,42,214,244,251
ai,624,107,4.953271028037383,5,123.6,49,35,0.45794392523364486,12,0.019230769230769232,0,0,13,35,21,68,72,74
ai,988,176,4.761363636363637,9,108.66666666666667,73,55,0.4147727272727273,28,0.02834008097165992,0,0,22,39,24,120,136,139
human,939,191,3.973821989528796,8,116.25,86,86,0.450261780104712,15,0.01597444089456869,0,0,20,33,26,136,154,159
human,931,185,4.194594594594594,7,132.14285714285714,92,59,0.4972972972972973,29,0.031149301825993556,0,0,23,56,25,132,140,142
ai,438,83,4.36144578313253,5,86.6,43,24,0.5180722891566265,8,0.0182648401826484,0,0,13,36,12,59,63,66
human,2132,391,4.662404092071611,3,710.0,136,38,0.34782608695652173,120,0.05628517823639775,0,0,168,126,27,209,237,239
human,1825,352,4.315340909090909,16,112.375,168,144,0.4772727272727273,57,0.03123287671232877,0,0,10,51,36,271,289,291
ai,424,78,4.564102564102564,4,105.0,50,20,0.6410256410256411,12,0.02830188679245283,0,0,4,17,8,61,62,62
human,1287,245,4.395918367346939,9,142.0,112,92,0.45714285714285713,35,0.027195027195027196,0,0,25,46,37,188,198,200
ai,1174,217,4.497695852534562,9,129.33333333333334,116,91,0.5345622119815668,24,0.020442930153321975,0,0,8,41,25,178,187,188
ai,1117,231,4.017316017316017,9,122.88888888888889,65,96,0.2813852813852814,44,0.03939122649955237,0,0,0,9,32,139,165,175
human,935,188,4.1861702127659575,5,186.2,102,66,0.5425531914893617,32,0.034224598930481284,0,0,15,30,19,143,146,146
ai,174,28,5.321428571428571,2,86.5,22,10,0.7857142857142857,3,0.017241379310344827,0,0,0,2,3,24,23,22
ai,534,117,3.905982905982906,11,47.63636363636363,36,15,0.3076923076923077,40,0.0749063670411985,0,0,34,23,9,48,55,56
ai,629,122,4.245901639344262,8,77.5,69,53,0.5655737704918032,13,0.02066772655007949,0,0,0,14,15,99,103,104
ai,613,125,4.08,6,101.0,53,42,0.424,27,0.04404567699836868,0,0,42,39,17,79,81,82
ai,1276,268,4.007462686567164,13,96.76923076923077,122,75,0.4552238805970149,53,0.041536050156739814,0,0,24,97,38,178,191,199
ai,310,59,4.389830508474576,4,76.25,35,20,0.5932203389830508,11,0.035483870967741936,0,0,12,20,8,45,44,43
human,1004,189,4.444444444444445,9,110.66666666666667,98,64,0.5185185185185185,28,0.027888446215139442,0,1,8,22,25,145,152,154
human,1040,200,4.3,9,114.66666666666667,93,77,0.465,26,0.025,0,0,8,49,25,148,167,170
human,1040,190,4.663157894736842,8,129.125,97,65,0.5105263157894737,28,0.026923076923076925,0,0,22,43,31,148,154,153
ai,886,179,4.06145251396648,10,87.4,79,67,0.441340782122905,22,0.024830699774266364,0,0,17,50,26,123,136,140
human,1014,176,4.875,6,167.83333333333334,75,64,0.42613636363636365,22,0.021696252465483234,0,0,22,40,20,124,141,144
human,1232,232,4.396551724137931,9,136.0,125,103,0.5387931034482759,20,0.016233766233766232,0,0,16,39,26,197,205,206
human,1177,202,4.96039603960396,7,167.28571428571428,98,75,0.48514851485148514,24,0.020390824129141887,0,0,24,74,22,159,168,168
ai,1098,234,3.97008547008547,11,98.72727272727273,99,72,0.4230769230769231,57,0.05191256830601093,0,0,36,84,23,163,166,165
human,1060,198,4.505050505050505,8,131.375,108,77,0.5454545454545454,30,0.02830188679245283,0,0,16,27,20,157,161,160
ai,710,116,5.241379310344827,5,141.0,62,45,0.5344827586206896,14,0.01971830985915493,0,0,0,8,16,92,95,96
human,977,200,4.02,11,87.54545454545455,86,72,0.43,30,0.030706243602865915,0,0,38,45,21,138,149,152
human,1460,302,3.9900662251655628,17,84.88235294117646,143,115,0.4735099337748344,46,0.031506849315068496,0,0,6,56,52,242,250,251
ai,1469,273,4.446886446886447,14,103.85714285714286,86,104,0.315018315018315,21,0.014295439074200136,0,0,94,63,40,153,188,201
human,2092,396,4.373737373737374,3,696.6666666666666,112,18,0.2828282828282828,150,0.07170172084130019,0,0,186,153,21,172,194,196
ai,946,182,4.291208791208791,11,84.81818181818181,94,64,0.5164835164835165,19,0.0200845665961945,0,0,22,55,23,137,146,151
human,1050,188,4.712765957446808,8,130.25,116,56,0.6170212765957447,27,0.025714285714285714,0,0,24,46,11,150,151,150
ai,1381,257,4.494163424124514,11,124.36363636363636,97,88,0.377431906614786,43,0.031136857349746562,0,0,45,61,39,167,181,185
human,965,177,4.593220338983051,9,106.33333333333333,86,60,0.4858757062146893,25,0.025906735751295335,0,0,44,50,19,134,140,139
human,1505,275,4.658181818181818,12,124.5,127,88,0.4618181818181818,53,0.03521594684385382,0,0,32,57,30,200,209,210
human,1127,206,4.587378640776699,10,111.4,92,81,0.44660194174757284,29,0.025732031943212066,0,0,5,43,35,164,173,174
ai,1134,219,4.3881278538812785,8,140.375,90,52,0.410958904109589,38,0.03350970017636684,0,0,16,83,31,130,143,150
human,1205,206,5.029126213592233,16,74.375,95,49,0.46116504854368934,43,0.03568464730290456,0,0,22,52,18,135,146,147
ai,938,178,4.359550561797753,10,92.6,88,78,0.4943820224719101,16,0.017057569296375266,0,0,0,30,25,138,154,157
ai,576,110,4.3090909090909095,5,114.0,52,42,0.4727272727272727,17,0.029513888888888888,0,0,24,21,15,78,83,85
ai,489,98,4.142857142857143,5,96.8,54,28,0.5510204081632653,15,0.03067484662576687,0,0,14,26,15,74,76,76
human,1191,230,4.2956521739130435,9,131.0,137,68,0.5956521739130435,31,0.026028547439126783,0,0,8,68,25,188,193,192
human,1030,191,4.50261780104712,10,101.9,101,61,0.5287958115183246,27,0.02621359223300971,0,0,21,54,30,145,150,151
human,1815,321,4.862928348909658,10,180.6,146,83,0.45482866043613707,70,0.03856749311294766,0,0,25,53,35,221,237,240
ai,601,110,4.545454545454546,5,119.0,50,38,0.45454545454545453,16,0.026622296173044926,0,0,23,26,17,81,85,85
human,1039,202,4.361386138613861,6,172.33333333333334,97,71,0.4801980198019802,36,0.03464870067372473,0,0,0,11,29,156,164,163
ai,858,158,4.537974683544304,7,121.42857142857143,77,62,0.4873417721518987,23,0.026806526806526808,0,0,21,48,20,120,127,127
ai,1381,274,4.142335766423358,14,97.5,127,98,0.4635036496350365,32,0.023171614771904415,0,0,51,87,30,205,220,222
ai,634,127,4.086614173228346,8,78.25,40,57,0.31496062992125984,16,0.025236593059936908,0,0,59,48,20,71,82,88
human,1009,196,4.280612244897959,10,99.6,94,70,0.47959183673469385,31,0.030723488602576808,0,0,40,29,26,141,145,147
ai,553,95,4.936842105263158,4,137.25,44,39,0.4631578947368421,11,0.019891500904159132,0,0,0,4,18,76,82,81
ai,269,48,4.6875,3,89.0,32,20,0.6666666666666666,3,0.011152416356877323,0,0,4,13,7,39,40,40
human,1287,216,5.166666666666667,2,643.0,76,21,0.35185185185185186,69,0.053613053613053616,0,0,124,74,16,119,123,124
ai,971,184,4.375,8,120.25,113,76,0.6141304347826086,17,0.017507723995880537,0,0,8,22,26,163,163,162
human,944,175,4.502857142857143,8,116.625,88,49,0.5028571428571429,24,0.025423728813559324,0,0,2,45,23,132,141,144
ai,317,57,4.614035087719298,3,104.66666666666667,33,24,0.5789473684210527,5,0.015772870662460567,0,0,6,9,9,45,47,47
human,1332,229,4.91703056768559,8,165.625,98,90,0.4279475982532751,29,0.02177177177177177,0,0,12,51,27,174,194,194
human,1080,197,4.634517766497462,7,153.42857142857142,101,72,0.5126903553299492,31,0.028703703703703703,0,0,24,30,25,150,160,159
human,1027,201,4.2835820895522385,10,101.8,98,61,0.48756218905472637,38,0.03700097370983447,0,0,21,57,22,149,153,153
human,906,175,4.3428571428571425,6,150.16666666666666,94,60,0.5371428571428571,25,0.02759381898454746,0,0,14,36,24,135,142,141
ai,1418,254,4.71259842519685,12,116.91666666666667,128,90,0.5039370078740157,35,0.02468265162200282,0,0,8,66,33,198,207,210
ai,1108,209,4.3875598086124405,12,91.0,96,71,0.45933014354066987,23,0.02075812274368231,0,0,8,49,24,149,168,174
ai,491,97,4.195876288659794,5,97.0,53,33,0.5463917525773195,14,0.028513238289205704,0,0,0,32,10,74,79,80
ai,1232,235,4.395744680851064,12,101.33333333333333,90,86,0.3829787234042553,45,0.036525974025974024,0,0,9,49,53,138,145,148
human,988,201,4.079601990049751,11,88.9090909090909,79,72,0.39303482587064675,33,0.03340080971659919,0,0,50,54,25,139,148,150
ai,371,75,4.053333333333334,4,91.5,38,27,0.5066666666666667,9,0.02425876010781671,0,0,10,22,10,57,60,59
ai,432,89,3.9887640449438204,7,60.714285714285715,48,35,0.5393258426966292,12,0.027777777777777776,0,0,32,22,13,68,68,67
human,1617,302,4.473509933774834,10,160.6,137,95,0.45364238410596025,42,0.025974025974025976,0,0,38,68,39,222,240,245
human,978,179,4.603351955307263,5,194.8,94,57,0.5251396648044693,28,0.028629856850715747,0,0,21,68,22,136,140,140
ai,430,80,4.475,5,84.8,53,27,0.6625,9,0.020930232558139535,0,0,11,11,9,66,66,65
ai,477,90,4.4,4,118.0,58,33,0.6444444444444445,11,0.023060796645702306,0,0,4,21,9,77,76,75
human,1255,236,4.436440677966102,10,124.6,114,98,0.4830508474576271,31,0.024701195219123506,0,0,4,16,28,182,198,198
human,1670,283,5.007067137809187,12,138.25,147,105,0.519434628975265,30,0.017964071856287425,0,0,0,22,39,236,249,249
ai,780,164,3.9634146341463414,6,128.83333333333334,86,58,0.524390243902439,29,0.03717948717948718,0,0,32,34,16,120,124,123
human,1024,195,4.415384615384616,9,112.88888888888889,85,69,0.4358974358974359,31,0.0302734375,0,0,40,54,22,134,148,149
human,2150,381,4.771653543307087,14,152.35714285714286,159,114,0.41732283464566927,55,0.02558139534883721,0,0,48,120,48,278,305,309
ai,1052,221,3.927601809954751,10,104.0,92,69,0.416289592760181,40,0.03802281368821293,0,0,58,56,30,143,149,152
human,1008,173,4.9479768786127165,7,143.14285714285714,98,50,0.5664739884393064,26,0.025793650793650792,0,0,14,48,25,139,143,142
human,1617,290,4.751724137931035,12,133.83333333333334,133,87,0.4586206896551724,49,0.030303030303030304,0,0,21,79,48,208,222,225
human,1312,241,4.547717842323651,12,108.41666666666667,116,80,0.48132780082987553,26,0.019817073170731708,0,0,23,35,34,188,204,205
ai,384,66,4.878787878787879,4,95.0,26,24,0.3939393939393939,4,0.010416666666666666,0,0,0,22,26,31,31,31
human,1472,282,4.343971631205674,14,104.21428571428571,115,109,0.4078014184397163,40,0.02717391304347826,0,0,36,59,34,214,225,227
ai,739,119,5.294117647058823,4,183.75,74,47,0.6218487394957983,11,0.014884979702300407,0,0,4,4,16,104,105,104
human,1225,226,4.561946902654867,13,93.23076923076923,99,82,0.43805309734513276,38,0.031020408163265307,0,0,26,29,23,165,179,179
human,1158,223,4.291479820627803,9,127.22222222222223,100,74,0.4484304932735426,27,0.023316062176165803,0,0,45,59,33,168,177,178
ai,520,104,4.125,6,85.5,53,44,0.5096153846153846,15,0.028846153846153848,0,0,3,25,18,71,77,81
ai,1082,229,3.9344978165938866,15,70.93333333333334,95,76,0.4148471615720524,44,0.04066543438077634,0,0,44,54,32,154,170,172
ai,833,169,4.088757396449704,7,117.85714285714286,86,58,0.5088757396449705,28,0.03361344537815126,0,0,30,35,16,123,129,128
ai,183,31,5.0,2,91.0,19,15,0.6129032258064516,3,0.01639344262295082,0,0,4,7,4,24,25,24
human,1276,237,4.556962025316456,11,115.0909090909091,121,62,0.510548523206751,42,0.032915360501567396,0,0,24,97,31,176,183,183
human,1177,224,4.357142857142857,10,116.8,111,86,0.4955357142857143,24,0.020390824129141887,0,0,26,54,28,169,180,185
human,960,177,4.502824858757062,8,118.375,83,65,0.4689265536723164,24,0.025,0,0,17,31,27,132,143,144
human,987,200,4.035,10,97.8,87,88,0.435,20,0.020263424518743668,0,0,23,28,25,149,166,169
